2017-11-7 06:43:02 10611 write
2017-11-7 06:02:34 10198 read
2017-11-7 06:45:06 9753 write
2017-11-7 06:08:49 9390 read
2017-11-7 12:20:54 9291 read
2017-11-7 12:20:53 9291 read
2017-11-7 06:08:48 9249 read
2017-11-7 06:42:34 8950 write
2017-11-7 06:43:01 8871 write
2017-11-7 06:40:33 8843 write
2017-11-7 06:02:36 8814 read
2017-11-7 06:45:15 8704 write
2017-11-7 06:45:14 8704 write
2017-11-7 06:42:39 8691 write
2017-11-7 06:42:38 8691 write
2017-11-7 06:42:31 8642 write
2017-11-7 06:42:33 8605 write
2017-11-7 06:45:07 8478 write
2017-11-7 06:41:09 8282 write
2017-11-7 06:02:33 8156 read
2017-11-7 06:50:17 8092 write
2017-11-7 11:00:04 8006 read
2017-11-7 06:08:50 7996 read
2017-11-7 12:17:00 7994 read
2017-11-7 06:45:31 7961 write
2017-11-7 06:45:30 7961 write
2017-11-7 06:41:06 7945 write
2017-11-7 06:41:07 7934 write
2017-11-7 06:43:06 7891 write
2017-11-7 06:41:08 7782 write
2017-11-7 11:00:02 7749 read
2017-11-7 06:42:10 7701 write
2017-11-7 06:50:09 7626 write
2017-11-7 06:41:03 7518 write
2017-11-7 06:41:10 7401 write
2017-11-7 06:45:22 7324 write
2017-11-7 06:41:33 7301 write
2017-11-7 06:41:04 7182 write
2017-11-7 06:42:04 7093 write
2017-11-7 06:45:39 7011 write
2017-11-7 06:08:51 6994 read
2017-11-7 06:45:28 6968 write
2017-11-7 04:02:48 6897 read
2017-11-7 06:45:26 6816 write
2017-11-7 06:45:25 6816 write
2017-11-7 06:33:03 6747 read
2017-11-7 06:45:38 6703 write
2017-11-7 06:45:16 6655 write
2017-11-7 06:45:32 6640 write
2017-11-7 06:40:40 6609 write
2017-11-7 12:20:56 6598 read
2017-11-7 06:41:58 6485 read
2017-11-7 06:45:47 6480 write
2017-11-7 06:02:37 6479 read
2017-11-7 03:15:57 6426 write
2017-11-7 06:41:05 6377 write
2017-11-7 06:45:37 6278 write
2017-11-7 06:30:55 6234 read
2017-11-7 06:42:40 6226 write
2017-11-7 06:45:40 6210 write
2017-11-7 00:01:03 6172 read
2017-11-7 06:45:55 6155 write
Avg NFSv3 IOPs: 31986.2
Max NFSv3 Latency (microseconds): 5000000
Avg NFSv3 Latency (microseconds):  6390.34
Max NFSv3 Op size (bytes):  -
NFSv3 Op Size, highest 100 ops/sec broken down by size: 
DATE/TIME               OPS/SEC    OPS/SEC BREAKDOWN
2017-11-7 21:35:56            -          - -
2017-11-7 21:35:55            -          - -
2017-11-7 21:35:54            -          - -
2017-11-7 21:35:53            -          - -
2017-11-7 21:35:52            -          - -
2017-11-7 21:35:51            -          - -
2017-11-7 21:35:50            -          - -
2017-11-7 21:35:49            -          - -
2017-11-7 21:35:48            -          - -
2017-11-7 21:35:47            -          - -
2017-11-7 21:35:46            -          - -
2017-11-7 21:35:45            -          - -
2017-11-7 21:35:44            -          - -
2017-11-7 21:35:43            -          - -
2017-11-7 21:35:42            -          - -
2017-11-7 21:35:41            -          - -
2017-11-7 21:35:40            -          - -
2017-11-7 21:35:39            -          - -
2017-11-7 21:35:37            -          - -
2017-11-7 21:35:36            -          - -
2017-11-7 21:35:35            -          - -
2017-11-7 21:35:34            -          - -
2017-11-7 21:35:32            -          - -
2017-11-7 21:35:31            -          - -
2017-11-7 21:35:30            -          - -
2017-11-7 21:35:29            -          - -
2017-11-7 21:35:28            -          - -
2017-11-7 21:35:27            -          - -
2017-11-7 21:35:26            -          - -
2017-11-7 21:35:25            -          - -
2017-11-7 21:35:24            -          - -
2017-11-7 21:35:23            -          - -
2017-11-7 21:35:22            -          - -
2017-11-7 21:35:21            -          - -
2017-11-7 21:35:20            -          - -
2017-11-7 21:35:19            -          - -
2017-11-7 21:35:18            -          - -
2017-11-7 21:35:17            -          - -
2017-11-7 21:35:16            -          - -
2017-11-7 21:35:15            -          - -
2017-11-7 21:35:14            -          - -
2017-11-7 21:35:13            -          - -
2017-11-7 21:35:12            -          - -
2017-11-7 21:35:11            -          - -
2017-11-7 21:35:10            -          - -
2017-11-7 21:35:09            -          - -
2017-11-7 21:35:08            -          - -
2017-11-7 21:35:07            -          - -
2017-11-7 21:35:06            -          - -
2017-11-7 21:35:05            -          - -
2017-11-7 21:35:04            -          - -
2017-11-7 21:35:03            -          - -
2017-11-7 21:35:02            -          - -
2017-11-7 21:35:01            -          - -
2017-11-7 21:35:00            -          - -
2017-11-7 21:34:59            -          - -
2017-11-7 21:34:58            -          - -
2017-11-7 21:34:57            -          - -
2017-11-7 21:34:56            -          - -
2017-11-7 21:34:55            -          - -
2017-11-7 21:34:54            -          - -
2017-11-7 21:34:53            -          - -
2017-11-7 21:34:52            -          - -
2017-11-7 21:34:51            -          - -
2017-11-7 21:34:50            -          - -
2017-11-7 21:34:49            -          - -
2017-11-7 21:34:48            -          - -
2017-11-7 21:34:47            -          - -
2017-11-7 21:34:46            -          - -
2017-11-7 21:34:45            -          - -
2017-11-7 21:34:44            -          - -
2017-11-7 21:34:43            -          - -
2017-11-7 21:34:42            -          - -
2017-11-7 21:34:41            -          - -
2017-11-7 21:34:40            -          - -
2017-11-7 21:34:39            -          - -
2017-11-7 21:34:38            -          - -
2017-11-7 21:34:37            -          - -
2017-11-7 21:34:36            -          - -
2017-11-7 21:34:35            -          - -
2017-11-7 21:34:34            -          - -
2017-11-7 21:34:33            -          - -
2017-11-7 21:34:32            -          - -
2017-11-7 21:34:31            -          - -
2017-11-7 21:34:30            -          - -
2017-11-7 21:34:29            -          - -
2017-11-7 21:34:28            -          - -
2017-11-7 21:34:27            -          - -
2017-11-7 21:34:26            -          - -
2017-11-7 21:34:25            -          - -
2017-11-7 21:34:24            -          - -
2017-11-7 21:34:23            -          - -
2017-11-7 21:34:22            -          - -
2017-11-7 21:34:21            -          - -
2017-11-7 21:34:20            -          - -
2017-11-7 21:34:19            -          - -
2017-11-7 21:34:18            -          - -
2017-11-7 21:34:17            -          - -
2017-11-7 21:34:16            -          - -
Max NFSv4 IOPs: 2570
Time of max NFSv4 iops (UTC):  2017-11-7 08:52:39
NFS Operations during peak NFSv4 ops:
2017-11-7 08:52:39         2570        809 getattr
                                       625 putfh
                                       222 access
                                       185 getfh
                                       184 savefh
                                       184 restorefh
                                       184 open
                                       176 close
                                         1 lookup
2017-11-7 08:52:40            0          - -
2017-11-7 08:52:41            0          - -
2017-11-7 08:52:42          694        216 getattr
                                       167 putfh
                                        65 access
                                        49 savefh
                                        49 restorefh
                                        49 open
                                        49 getfh
                                        49 close
                                         1 renew
2017-11-7 08:52:43           24          8 putfh
                                         8 getattr
                                         8 close
2017-11-7 08:52:44           60         18 getattr
                                        17 putfh
                                        10 access
                                         2 savefh
                                         2 restorefh
                                         2 open-confirm
                                         2 open
                                         2 getfh
                                         2 close
                                         1 setclientid-confirm
                                         1 setclientid
                                         1 putrootfh
2017-11-7 08:52:45            0          - -
2017-11-7 08:52:46            6          3 putfh
                                         3 getattr
2017-11-7 08:52:47            2          1 putfh
                                         1 getattr
2017-11-7 08:52:48            2          1 putfh
                                         1 getattr
2017-11-7 08:52:49            4          1 renew
                                         1 putfh
                                         1 getattr
                                         1 close
2017-11-7 08:52:50            1          1 renew
2017-11-7 08:52:51            0          - -
2017-11-7 08:52:52            0          - -
2017-11-7 08:52:53            4          2 putfh
                                         2 getattr
2017-11-7 08:52:54            0          - -
2017-11-7 08:52:55            0          - -
2017-11-7 08:52:56            0          - -
2017-11-7 08:52:57            2          1 putfh
                                         1 getattr
2017-11-7 08:52:58            0          - -
2017-11-7 08:52:59            4          2 putfh
                                         2 getattr
2017-11-7 08:53:00            0          - -
2017-11-7 08:53:01            1          1 renew
2017-11-7 08:53:02            0          - -
2017-11-7 08:53:03            2          2 renew
2017-11-7 08:53:04            0          - -
2017-11-7 08:53:05            0          - -
2017-11-7 08:53:06            0          - -
2017-11-7 08:53:07            0          - -
2017-11-7 08:53:08            0          - -
2017-11-7 08:53:09            0          - -
2017-11-7 08:53:10            0          - -
2017-11-7 08:53:11            0          - -
2017-11-7 08:53:12            1          1 renew
2017-11-7 08:53:13            0          - -
2017-11-7 08:53:14            0          - -
2017-11-7 08:53:15            0          - -
2017-11-7 08:53:16            0          - -
2017-11-7 08:53:17            0          - -
2017-11-7 08:53:18            0          - -
2017-11-7 08:53:19            0          - -
2017-11-7 08:53:20            0          - -
2017-11-7 08:53:21            0          - -
2017-11-7 08:53:22            0          - -
2017-11-7 08:53:23            0          - -
2017-11-7 08:53:24            0          - -
2017-11-7 08:53:25            1          1 renew
2017-11-7 08:53:26            0          - -
2017-11-7 08:53:27            0          - -
2017-11-7 08:53:28            0          - -
2017-11-7 08:53:29            1          1 renew
2017-11-7 08:53:30            0          - -
2017-11-7 08:53:31            0          - -
2017-11-7 08:53:32            0          - -
2017-11-7 08:53:33            1          1 renew
2017-11-7 08:53:34            0          - -
2017-11-7 08:53:35          698        233 getattr
                                       233 delegreturn
                                       232 putfh
2017-11-7 08:53:36            0          - -
2017-11-7 08:53:37            2          1 putfh
                                         1 getattr
Avg NFSv4 IOPs: 2.52042
Max NFSv4 Latency (microseconds): -
Avg NFSv4 Latency (microseconds):  0
Max NFSv4 Op size (bytes):  1048576
NFSv4 Op Size, highest 100 ops/sec broken down by size: 
DATE/TIME               OPS/SEC    OPS/SEC BREAKDOWN
2017-11-7 03:14:11         3030       3013 1048576
2017-11-7 03:14:08         3030       3013 1048576
2017-11-7 08:52:39         2570       2494 1048576
2017-11-7 04:52:17         2570       2463 1048576
2017-11-7 20:52:24         2566       1611 1048576
2017-11-7 15:05:21         2563       1483 1048576
2017-11-7 01:42:26         2437       1602 1048576
2017-11-6 23:05:29         2305         15 1048576
2017-11-7 03:05:06         2191       2178 1048576
2017-11-7 12:52:04         2128       1988 1048576
2017-11-7 01:42:16         2124       1629 1048576
2017-11-7 00:52:43         2070         80 1048576
2017-11-7 16:52:04         1989       1151 1048576
2017-11-7 11:05:13         1965       1874 1048576
2017-11-7 07:05:13         1914       1848 1048576
2017-11-7 03:13:56         1904       1904 1048576
2017-11-7 03:14:04         1896       1895 1048576
2017-11-7 03:50:57         1875       1873 1048576
2017-11-7 03:14:05         1855       1855 1048576
2017-11-7 03:14:01         1834       1834 1048576
2017-11-7 03:13:57         1829       1827 1048576
2017-11-7 19:05:35         1744       1116 1048576
2017-11-7 01:42:15         1550       1058 1048576
2017-11-7 01:42:37         1340        958 1048576
2017-11-7 03:51:03         1087       1087 1048576
2017-11-7 03:14:06         1071       1069 1048576
2017-11-7 03:13:55         1060       1059 1048576
2017-11-7 03:14:16         1028       1024 1048576
2017-11-7 03:14:00          984        983 1048576
2017-11-7 13:18:13          919        499 1048576
2017-11-7 19:05:36          823        530 1048576
2017-11-7 01:42:18          742        507 1048576
2017-11-7 07:05:17          717        682 1048576
2017-11-7 01:42:17          711        562 1048576
2017-11-7 12:52:07          704        652 1048576
2017-11-7 11:05:16          704        692 1048576
2017-11-7 04:52:20          704        704 1048576
2017-11-7 03:06:03          701        692 1048576
2017-11-7 15:06:02          700        417 1048576
2017-11-7 20:53:34          699        458 1048576
2017-11-7 19:06:45          699        443 1048576
2017-11-7 16:53:14          699        362 1048576
2017-11-7 07:06:03          699        663 1048576
2017-11-7 11:06:03          698        671 1048576
2017-11-7 12:53:14          697        641 1048576
2017-11-7 08:53:35          696        681 1048576
2017-11-7 04:53:27          696        684 1048576
2017-11-7 08:52:42          694        666 1048576
2017-11-7 20:52:32          693        468 1048576
2017-11-7 16:52:07          693        369 1048576
2017-11-7 15:05:24          693        426 1048576
2017-11-7 03:05:09          693        693 1048576
2017-11-7 00:52:46          672          9 1048576
2017-11-7 07:05:14          653        626 1048576
2017-11-6 23:05:32          653         36 4096
2017-11-7 00:53:36          648         12 1048576
2017-11-6 23:06:39          637          3 1048576
2017-11-7 03:14:19          631        625 1048576
2017-11-7 11:05:12          599        596 1048576
2017-11-7 16:52:05          581        374 1048576
2017-11-7 01:47:59          572        572 1048576
2017-11-7 19:05:39          554        344 1048576
2017-11-7 03:14:18          550        547 1048576
2017-11-7 03:14:17          550        547 1048576
2017-11-7 03:51:10          547        533 1048576
2017-11-7 01:48:01          544        544 1048576
2017-11-7 01:48:02          540        540 1048576
2017-11-7 03:51:18          538        535 1048576
2017-11-7 01:48:03          536        536 1048576
2017-11-7 01:43:57          534        534 1048576
2017-11-7 03:51:20          533        524 1048576
